generation,best_cost,mean_cost,overall_best_cost,open_locations,avg_distance_km,city_bounce_rate
29,2090847.5069372891,3395547.8535325495,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
30,2090847.5069372891,3313010.982484746,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
31,2090847.5069372891,3362753.42751586,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
32,2090847.5069372891,4403289.4812399205,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
33,2090847.5069372891,3478722.186586683,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
34,2090847.5069372891,3363732.6689152163,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
35,2090847.5069372891,3395517.8920938754,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
36,2090847.5069372891,3429754.5657820227,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
37,2090847.5069372891,3326210.1281858515,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
38,2090847.5069372891,3359273.751918377,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
39,2090847.5069372891,3266805.24984585,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
40,2090847.5069372891,3553547.5728712333,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
41,2090847.5069372891,3487072.4548006156,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
42,2090847.5069372891,4454535.531219821,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
43,2090847.5069372891,3556129.4578984086,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
44,2090847.5069372891,3352193.769706593,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
45,2090847.5069372891,3303988.440323541,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
46,2090847.5069372891,3471749.354027068,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
47,2090847.5069372891,3240823.7676464473,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
48,2090847.5069372891,3343724.512780596,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
49,2090847.5069372891,3358068.5563788763,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
50,2090847.5069372891,3409891.2954014195,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
51,2090847.5069372891,3593788.034964276,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
52,2090847.5069372891,4518414.957520103,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
53,2090847.5069372891,3576408.654996961,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
54,2090847.5069372891,3529888.781591456,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
55,2090847.5069372891,3479348.2192412233,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
56,2090847.5069372891,3550833.350049685,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
57,2090847.5069372891,3478211.609168889,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
58,2090847.5069372891,3445701.166100038,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
59,2090847.5069372891,3555051.2361963717,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
60,2090847.5069372891,3499256.9146495904,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
61,2090847.5069372891,3421426.778618689,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
62,2090847.5069372891,4330812.1502446635,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
63,2090847.5069372891,3559763.129832244,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
64,2090847.5069372891,3363354.1437524795,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
65,2090847.5069372891,3531601.5101396996,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
66,2090847.5069372891,3364296.3434312157,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
67,2090847.5069372891,3663741.6254616333,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
68,2090847.5069372891,3511245.0256071454,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
69,2090847.5069372891,3314739.4092227435,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
70,2090847.5069372891,3219961.5744019924,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
71,2090847.5069372891,3390303.952423052,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
72,2090847.5069372891,4461651.059934995,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
73,2090847.5069372891,3698601.4482109984,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
74,2090847.5069372891,3478833.0784244062,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
75,2090847.5069372891,3529014.351844435,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
