facility_id,facility_type,open,x,y,fixed_cost,capacity_daily
APL_83_E1745N3190,APL,0,32455.91661,61117.27,15000,90.0
APL_84_E1755N3210,APL,0,46845.74994,79593.93,15000,90.0
APL_85_E1735N3160,APL,1,18066.08328,33402.28,15000,90.0
APL_86_E1735N3155,APL,0,18066.08328,28783.115,15000,90.0
APL_87_E1785N3160,APL,0,90015.24994,33402.28,15000,90.0
APL_88_E1770N3145,APL,0,68430.49994,19544.785,15000,90.0
APL_89_E1735N3180,APL,0,18066.08328,51878.94,15000,90.0
APL_90_E1735N3165,APL,1,18066.08328,38021.445,15000,90.0
APL_91_E1765N3170,APL,0,61235.58327,42640.61,15000,90.0
APL_92_E1790N3160,APL,0,97210.16661,33402.28,15000,90.0
APL_93_E1780N3150,APL,0,82820.33327,24163.95,15000,90.0
APL_94_E1790N3130,APL,1,97210.16661,5687.29,15000,90.0
APL_95_E1795N3215,APL,0,104405.0833,84213.095,15000,90.0
APL_96_E1785N3155,APL,1,90015.24994,28783.115,15000,90.0
APL_97_E1775N3175,APL,0,75625.41661,47259.775,15000,90.0
APL_98_E1810N3210,APL,0,125989.8333,79593.93,15000,90.0
APL_99_E1820N3215,APL,0,140379.6666,84213.095,15000,90.0
APL_100_E1795N3165,APL,0,104405.0833,38021.445,15000,90.0
APL_101_E1745N3175,APL,0,32455.91661,47259.775,15000,90.0
APL_102_E1810N3125,APL,0,125989.8333,1068.125,15000,90.0
APL_103_E1755N3170,APL,0,46845.74994,42640.61,15000,90.0
APL_104_E1770N3150,APL,1,68430.49994,24163.95,15000,90.0
APL_105_E1810N3170,APL,0,125989.8333,42640.61,15000,90.0
APL_106_E1800N3210,APL,0,111599.9999,79593.93,15000,90.0
APL_107_E1800N3205,APL,0,111599.9999,74974.765,15000,90.0
APL_108_E1785N3130,APL,0,90015.24994,5687.29,15000,90.0
APL_109_E1815N3150,APL,1,133184.7499,24163.95,15000,90.0
APL_110_E1785N3190,APL,0,90015.24994,61117.27,15000,90.0
APL_111_E1765N3160,APL,1,61235.58327,33402.28,15000,90.0
APL_112_E1815N3155,APL,0,133184.7499,28783.115,15000,90.0
APL_113_E1725N3170,APL,0,3676.249942,42640.61,15000,90.0
APL_114_E1750N3190,APL,1,39650.83327,61117.27,15000,90.0
APL_115_E1815N3170,APL,0,133184.7499,42640.61,15000,90.0
APL_116_E1735N3195,APL,0,18066.08328,65736.435,15000,90.0
APL_117_E1760N3205,APL,1,54040.66661,74974.765,15000,90.0
APL_118_E1810N3160,APL,1,125989.8333,33402.28,15000,90.0
APL_119_E1790N3180,APL,0,97210.16661,51878.94,15000,90.0
APL_120_E1755N3160,APL,0,46845.74994,33402.28,15000,90.0
APL_121_E1780N3155,APL,0,82820.33327,28783.115,15000,90.0
APL_122_E1815N3210,APL,0,133184.7499,79593.93,15000,90.0
APL_123_E1735N3185,APL,0,18066.08328,56498.105,15000,90.0
APL_124_E1730N3160,APL,0,10871.16661,33402.28,15000,90.0
APL_125_E1770N3155,APL,0,68430.49994,28783.115,15000,90.0
APL_126_E1780N3140,APL,0,82820.33327,14925.62,15000,90.0
APL_127_E1790N3190,APL,1,97210.16661,61117.27,15000,90.0
APL_128_E1760N3210,APL,0,54040.66661,79593.93,15000,90.0
APL_129_E1790N3215,APL,0,97210.16661,84213.095,15000,90.0
APL_130_E1735N3175,APL,0,18066.08328,47259.775,15000,90.0
APL_131_E1780N3185,APL,0,82820.33327,56498.105,15000,90.0
APL_132_E1770N3165,APL,0,68430.49994,38021.445,15000,90.0
APL_133_E1780N3160,APL,0,82820.33327,33402.28,15000,90.0
APL_134_E1815N3175,APL,0,133184.7499,47259.775,15000,90.0
APL_135_E1770N3195,APL,0,68430.49994,65736.435,15000,90.0
APL_136_E1775N3140,APL,0,75625.41661,14925.62,15000,90.0
APL_137_E1750N3165,APL,0,39650.83327,38021.445,15000,90.0
APL_138_E1785N3125,APL,0,90015.24994,1068.125,15000,90.0
APL_139_E1805N3160,APL,0,118794.9166,33402.28,15000,90.0
APL_140_E1780N3130,APL,0,82820.33327,5687.29,15000,90.0
APL_141_E1760N3160,APL,0,54040.66661,33402.28,15000,90.0
APL_142_E1760N3195,APL,0,54040.66661,65736.435,15000,90.0
APL_143_E1795N3175,APL,0,104405.0833,47259.775,15000,90.0
APL_144_E1810N3150,APL,0,125989.8333,24163.95,15000,90.0
APL_145_E1770N3190,APL,0,68430.49994,61117.27,15000,90.0
APL_146_E1800N3160,APL,0,111599.9999,33402.28,15000,90.0
APL_147_E1750N3210,APL,0,39650.83327,79593.93,15000,90.0
APL_148_E1795N3170,APL,0,104405.0833,42640.61,15000,90.0
APL_149_E1780N3165,APL,0,82820.33327,38021.445,15000,90.0
APL_150_E1745N3160,APL,0,32455.91661,33402.28,15000,90.0
APL_151_E1765N3190,APL,0,61235.58327,61117.27,15000,90.0
APL_152_E1780N3145,APL,0,82820.33327,19544.785,15000,90.0
APL_153_E1785N3195,APL,0,90015.24994,65736.435,15000,90.0
APL_154_E1755N3155,APL,0,46845.74994,28783.115,15000,90.0
APL_155_E1790N3135,APL,0,97210.16661,10306.455,15000,90.0
APL_156_E1760N3185,APL,0,54040.66661,56498.105,15000,90.0
APL_157_E1730N3175,APL,0,10871.16661,47259.775,15000,90.0
APL_158_E1795N3130,APL,0,104405.0833,5687.29,15000,90.0
APL_159_E1800N3225,APL,0,111599.9999,93451.425,15000,90.0
APL_160_E1790N3150,APL,0,97210.16661,24163.95,15000,90.0
APL_161_E1755N3205,APL,0,46845.74994,74974.765,15000,90.0
APL_162_E1795N3135,APL,0,104405.0833,10306.455,15000,90.0
APL_163_E1790N3200,APL,0,97210.16661,70355.6,15000,90.0
APL_164_E1770N3185,APL,0,68430.49994,56498.105,15000,90.0
APL_165_E1810N3130,APL,0,125989.8333,5687.29,15000,90.0
APL_166_E1745N3195,APL,0,32455.91661,65736.435,15000,90.0
APL_167_E1750N3160,APL,0,39650.83327,33402.28,15000,90.0
APL_168_E1780N3135,APL,0,82820.33327,10306.455,15000,90.0
APL_169_E1765N3150,APL,0,61235.58327,24163.95,15000,90.0
APL_170_E1795N3160,APL,0,104405.0833,33402.28,15000,90.0
APL_171_E1790N3145,APL,0,97210.16661,19544.785,15000,90.0
APL_172_E1765N3155,APL,0,61235.58327,28783.115,15000,90.0
APL_173_E1785N3220,APL,0,90015.24994,88832.26,15000,90.0
APL_174_E1795N3200,APL,0,104405.0833,70355.6,15000,90.0
APL_175_E1790N3205,APL,0,97210.16661,74974.765,15000,90.0
APL_176_E1755N3200,APL,0,46845.74994,70355.6,15000,90.0
APL_177_E1745N3200,APL,0,32455.91661,70355.6,15000,90.0
APL_178_E1730N3185,APL,0,10871.16661,56498.105,15000,90.0
APL_179_E1785N3200,APL,0,90015.24994,70355.6,15000,90.0
APL_180_E1815N3190,APL,0,133184.7499,61117.27,15000,90.0
APL_181_E1750N3195,APL,0,39650.83327,65736.435,15000,90.0
APL_182_E1805N3185,APL,0,118794.9166,56498.105,15000,90.0
APL_183_E1765N3205,APL,0,61235.58327,74974.765,15000,90.0
APL_184_E1800N3165,APL,0,111599.9999,38021.445,15000,90.0
APL_185_E1745N3145,APL,0,32455.91661,19544.785,15000,90.0
APL_186_E1810N3195,APL,0,125989.8333,65736.435,15000,90.0
APL_187_E1780N3220,APL,0,82820.33327,88832.26,15000,90.0
APL_188_E1765N3135,APL,0,61235.58327,10306.455,15000,90.0
APL_189_E1810N3185,APL,0,125989.8333,56498.105,15000,90.0
APL_190_E1775N3155,APL,0,75625.41661,28783.115,15000,90.0
APL_191_E1805N3175,APL,0,118794.9166,47259.775,15000,90.0
APL_192_E1755N3195,APL,0,46845.74994,65736.435,15000,90.0
APL_193_E1750N3205,APL,0,39650.83327,74974.765,15000,90.0
APL_194_E1765N3185,APL,0,61235.58327,56498.105,15000,90.0
APL_195_E1780N3200,APL,0,82820.33327,70355.6,15000,90.0
APL_196_E1760N3200,APL,0,54040.66661,70355.6,15000,90.0
APL_197_E1750N3150,APL,0,39650.83327,24163.95,15000,90.0
APL_198_E1805N3150,APL,0,118794.9166,24163.95,15000,90.0
APL_199_E1775N3200,APL,0,75625.41661,70355.6,15000,90.0
APL_200_E1815N3135,APL,0,133184.7499,10306.455,15000,90.0
APL_201_E1805N3165,APL,0,118794.9166,38021.445,15000,90.0
APL_202_E1790N3140,APL,0,97210.16661,14925.62,15000,90.0
APL_203_E1815N3185,APL,0,133184.7499,56498.105,15000,90.0
APL_204_E1745N3150,APL,0,32455.91661,24163.95,15000,90.0
APL_205_E1810N3190,APL,0,125989.8333,61117.27,15000,90.0
APL_206_E1755N3190,APL,0,46845.74994,61117.27,15000,90.0
APL_207_E1815N3165,APL,0,133184.7499,38021.445,15000,90.0
APL_208_E1745N3155,APL,0,32455.91661,28783.115,15000,90.0
APL_209_E1790N3210,APL,0,97210.16661,79593.93,15000,90.0
APL_210_E1750N3145,APL,0,39650.83327,19544.785,15000,90.0
APL_211_E1785N3140,APL,0,90015.24994,14925.62,15000,90.0
APL_212_E1760N3150,APL,0,54040.66661,24163.95,15000,90.0
APL_213_E1765N3215,APL,0,61235.58327,84213.095,15000,90.0
APL_214_E1765N3195,APL,0,61235.58327,65736.435,15000,90.0
APL_215_E1795N3180,APL,0,104405.0833,51878.94,15000,90.0
APL_216_E1755N3185,APL,0,46845.74994,56498.105,15000,90.0
