"CBS_square","x","y","Population","nearest_SP_straightline","dist_straightline_km","nearest_SP_network","dist_network_km","detour_factor"
"E1745N3190",32455.91661,61117.27,1245,3513,2.71888548210363,3513,0.27682570412,0.101815874902468
"E1745N3195",32455.91661,65736.435,125,3513,4.17196899929984,3343,0.88435922845,0.211976462097014
"E1745N3200",32455.91661,70355.6,45,3513,8.37207757918511,3343,0.88435922845,0.105631991591755
"E1745N3210",32455.91661,79593.93,NA,3513,17.4208068153227,3343,3.930578694526,0.225625525625415
"E1750N3135",39650.83327,10306.455,NA,1258,26.359036572869,1258,3.431290071378,0.13017509429422
"E1750N3140",39650.83327,14925.62,NA,1258,21.7438002027525,4387,3.199566460649,0.147148448330756
"E1750N3145",39650.83327,19544.785,5,1258,17.130681716121,4387,2.662653098049,0.155431823565041
"E1750N3150",39650.83327,24163.95,15,1258,12.5220220194391,4387,2.043403943449,0.163184822728855
"E1750N3155",39650.83327,28783.115,NA,1258,7.92560315976291,4387,1.915912107415,0.241737072724231
"E1750N3160",39650.83327,33402.28,150,1258,3.39156395063087,1258,0.324373696149,0.095641332692153
"E1750N3165",39650.83327,38021.445,765,1258,1.69221665600002,1258,0.27480131702,0.162391332129754
"E1750N3170",39650.83327,42640.61,2395,1739,5.28613492525862,4440,0.542830768872,0.102689540949514
"E1750N3175",39650.83327,47259.775,2685,8282,4.71947835595672,8282,0.60697575987,0.128610773074931
"E1750N3180",39650.83327,51878.94,890,8282,5.65318923222272,8282,0.73903067548,0.13072809791464
"E1750N3185",39650.83327,56498.105,920,3343,4.97949066816114,3343,0.641066198771,0.128741319442564
"E1750N3190",39650.83327,61117.27,655,3343,3.13911782610639,3343,0.25075455823,0.0798805817814822
"E1750N3195",39650.83327,65736.435,55,3343,6.13075564123248,3343,0.667562215776,0.108887428376088
"E1750N3200",39650.83327,70355.6,NA,3343,10.3919025848628,3343,1.054854334566,0.101507334768759
"E1750N3205",39650.83327,74974.765,15,3343,14.8684392095641,3343,1.632742577956,0.109812641054196
"E1750N3210",39650.83327,79593.93,60,3921,16.4902277901907,3343,2.219903192776,0.134619316423059
"E1750N3215",39650.83327,84213.095,NA,3921,17.9254137859215,3343,2.446707654197,0.136493789399642
"E1755N3135",46845.74994,10306.455,NA,1026,25.1361407906105,1258,4.229948856898,0.168281554918648
"E1755N3155",46845.74994,28783.115,80,1258,10.0188246122385,4387,1.560155145219,0.15572237319268
"E1755N3160",46845.74994,33402.28,255,1258,7.00459614795671,4387,1.081060915865,0.154335937865647
"E1755N3165",46845.74994,38021.445,800,1934,5.21949298726562,1934,0.880844566526,0.168760561356258
"E1755N3170",46845.74994,42640.61,1200,1934,2.11880964416108,4440,0.350476720694,0.165412084875028
"E1755N3175",46845.74994,47259.775,2705,4440,3.26380980848379,4440,0.424656822457,0.130110774639247
"E1755N3180",46845.74994,51878.94,1290,5499,4.9228757278414,5499,0.727033962559,0.147684809195416
"E1755N3185",46845.74994,56498.105,5,5499,5.30540724630966,5499,1.129715383745,0.212936600584396
"E1755N3190",46845.74994,61117.27,15,5499,8.64484570487351,3155,1.030048094762,0.119151703792852
"E1755N3195",46845.74994,65736.435,20,3155,11.4188308828056,3155,1.41071866103,0.123543178413672
"E1755N3200",46845.74994,70355.6,35,3921,10.9405684771903,3155,2.001531501163,0.1829458410078
"E1755N3205",46845.74994,74974.765,65,3921,9.15107339274006,3155,2.089439134603,0.228327218560026
"E1755N3210",46845.74994,79593.93,355,3921,9.51113139794577,3921,0.90625839972,0.095283974303597
"E1755N3215",46845.74994,84213.095,NA,3921,11.8260080878171,3343,2.998109287466,0.253518284885548
"E1755N3220",46845.74994,88832.26,NA,3921,15.2289423372633,3343,3.430298158166,0.225248614263415
"E1760N3130",54040.66661,5687.29,NA,6767,25.5329344690086,1026,3.352209240324,0.131289619075819
"E1760N3135",54040.66661,10306.455,NA,6767,21.5823004304827,1026,3.014923919354,0.139694279998797
"E1760N3140",54040.66661,14925.62,NA,6767,17.9536629059083,1026,2.54770110271,0.141904251854455
"E1760N3145",54040.66661,19544.785,NA,1026,14.0751224307369,1026,2.39745355077,0.170332696043517
"E1760N3150",54040.66661,24163.95,5,1026,9.60615209365898,1026,1.601003954496,0.166664439505681
"E1760N3155",54040.66661,28783.115,NA,1026,5.39635203144067,1026,0.7756323756,0.14373272371427
"E1760N3160",54040.66661,33402.28,390,1026,2.93878257828116,1026,0.37935131478,0.129084511928023
"E1760N3165",54040.66661,38021.445,1570,4387,2.16060527161115,4387,0.2602947832,0.120473085306276
"E1760N3170",54040.66661,42640.61,1155,4387,2.96458502556241,4387,0.829783512743,0.279898706088074
"E1760N3175",54040.66661,47259.775,1885,1934,6.76509289557903,4440,1.021759049598,0.151034001360974
"E1760N3180",54040.66661,51878.94,2590,5499,3.25074772957067,5499,0.650350546803,0.200061832201569
"E1760N3185",54040.66661,56498.105,385,3155,1.93152844204114,5499,1.756589195885,0.909429629743751
"E1760N3190",54040.66661,61117.27,1150,3155,3.33860661568399,3155,0.524138632015,0.156993228717849
"E1760N3195",54040.66661,65736.435,145,3155,7.82528956273273,3155,0.910552037003,0.116360171684819
"E1760N3200",54040.66661,70355.6,30,3921,6.46248390924022,3921,0.6901145481,0.106787816850616
"E1760N3205",54040.66661,74974.765,805,3921,2.4103534828763,3921,0.22608444067,0.0937972136768137
"E1760N3210",54040.66661,79593.93,450,3921,3.5396723212875,3921,0.45252943076,0.127845006453987
"E1765N3135",61235.58327,10306.455,15,6767,18.5135092572443,1026,2.635963031624,0.142380517653214
"E1765N3140",61235.58327,14925.62,NA,6767,14.1169523936806,1026,2.301885349271,0.163058235593501
"E1765N3145",61235.58327,19544.785,NA,6767,9.92471840140912,1026,1.83747380117,0.185141152308071
"E1765N3150",61235.58327,24163.95,75,6767,6.35492693927663,1026,1.53827791956,0.242060677370289
"E1765N3155",61235.58327,28783.115,90,6767,4.99434961273927,1026,0.59719221992,0.11957357138089
"E1765N3160",61235.58327,33402.28,520,1026,4.25858320329472,1026,1.01185568699,0.237603831764321
"E1765N3165",61235.58327,38021.445,965,1026,6.35017553214153,4387,1.03155158986,0.162444578837039
"E1765N3170",61235.58327,42640.61,450,4987,6.45592268460085,4387,0.84152274452,0.130348950201536
"E1765N3175",61235.58327,47259.775,1615,4431,5.61054502036913,4431,0.686285784227,0.122320698209431
"E1765N3180",61235.58327,51878.94,765,4431,6.23919963685759,4431,1.653778961834,0.265062677601215
"E1765N3185",61235.58327,56498.105,35,3155,6.1733225891467,3155,0.901768728046,0.146075102187499
"E1765N3190",61235.58327,61117.27,140,3155,6.74725157390355,3155,1.042628035456,0.15452633180132
"E1765N3195",61235.58327,65736.435,5,7859,9.03348651218282,3921,1.847552100085,0.20452259463645
"E1765N3200",61235.58327,70355.6,NA,3921,8.20761899817748,3921,1.12794420716,0.137426482322153
"E1765N3205",61235.58327,74974.765,55,3921,5.6045620038027,3921,0.488422753662,0.0871473548388982
"E1765N3210",61235.58327,79593.93,NA,3921,6.1749972861649,3921,0.634748166362,0.102793270498135
"E1765N3215",61235.58327,84213.095,5,3921,9.35539621332357,3921,1.041411722862,0.111316688156816
"E1770N3125",68430.49994,1068.125,NA,6767,27.1694954267952,6767,3.061998847277,0.112699879006851
"E1770N3145",68430.49994,19544.785,340,6767,8.88752046564423,6767,1.19168904229,0.134085659425102
"E1770N3150",68430.49994,24163.95,555,6767,4.56870671892167,6767,0.51094817168,0.111836500593016
"E1770N3155",68430.49994,28783.115,705,6767,2.3305606051431,753,0.71068214187,0.304940425192831
"E1770N3160",68430.49994,33402.28,750,6767,5.71518284741792,6767,0.69795629219,0.122123178002141
"E1770N3165",68430.49994,38021.445,235,4987,6.12525842963748,4987,0.803154587186,0.131121747173945
"E1770N3170",68430.49994,42640.61,2785,4987,1.69839504059568,4987,0.204247427896,0.120259081670637
"E1770N3175",68430.49994,47259.775,2235,4431,2.33709123396691,4431,0.235470954364,0.100753856307235
"E1770N3180",68430.49994,51878.94,1510,4431,3.59324256332077,4431,0.62590546787,0.174189595286202
"E1770N3185",68430.49994,56498.105,70,7859,7.68758808869758,7859,1.181033291646,0.153628586498069
"E1770N3190",68430.49994,61117.27,305,7859,3.33350230588791,7859,0.3265015314,0.097945494389881
"E1770N3195",68430.49994,65736.435,545,7859,2.40807707926574,7859,0.26773274262,0.111181134908537
"E1770N3200",68430.49994,70355.6,NA,7859,6.56953601180937,7859,0.94974551009,0.144568126026365
"E1770N3205",68430.49994,74974.765,NA,7859,11.0991955652509,7859,1.4042809107,0.12652096293325
"E1775N3125",75625.41661,1068.125,NA,284,22.5761461874676,6767,2.926738423612,0.129638530832896
"E1775N3130",75625.41661,5687.29,NA,284,21.4455774171829,6767,2.63576886256,0.122905007931758
"E1775N3135",75625.41661,10306.455,NA,753,18.3611019728095,6767,2.07359996103,0.112934395991087
"E1775N3140",75625.41661,14925.62,95,753,13.7427964375262,753,1.83037155259,0.133187707531778
"E1775N3145",75625.41661,19544.785,1000,753,9.12536096738693,753,1.43329440616,0.157067146306041
"E1775N3150",75625.41661,24163.95,1210,753,4.51146785884416,753,0.5949164611,0.131867604893547
"E1775N3155",75625.41661,28783.115,805,753,0.328393501928544,753,0,0
"E1775N3160",75625.41661,33402.28,845,753,4.74717947177941,753,0.962819866193,0.202819352400026
"E1775N3165",75625.41661,38021.445,850,7229,8.39868630858237,753,1.373767404725,0.163569319563845
"E1775N3170",75625.41661,42640.61,2275,7229,3.99129266454414,7229,0.639826027088,0.160305465137089
"E1775N3175",75625.41661,47259.775,1355,7229,1.99906807101932,7229,0.60900014893,0.304642026831769
"E1775N3180",75625.41661,51878.94,1325,7229,5.89368303911433,7229,0.767852506238,0.130283983909896
"E1775N3185",75625.41661,56498.105,1210,7859,9.31813388248252,7229,1.161650511958,0.124665574310091
"E1775N3190",75625.41661,61117.27,1225,7859,6.23224245787533,7859,0.84277789095,0.135228675175342
"E1775N3195",75625.41661,65736.435,955,7859,5.7902887363299,7859,0.7452872882,0.128713320205236
"E1775N3200",75625.41661,70355.6,20,7859,8.41946624441502,7859,0.824981500745,0.0979850119705919
"E1775N3205",75625.41661,74974.765,NA,7859,12.2849806929465,7859,1.15705021588,0.0941841297759894
